,joy
0,0.022210029885172844
1,-0.02186126448214054
2,0.008719140663743019
3,-0.02674398384988308
4,-0.004149518441408873
5,0.008972788229584694
6,-0.00705854082480073
7,0.019594287499785423
8,-0.03194376081228256
9,0.04042510688304901
10,-0.027409808710217476
11,-0.002877316437661648
12,-0.028535369783639908
13,0.042549408972263336
14,-0.03054869920015335
15,-0.023700209334492683
16,-0.04416641220450401
17,0.01802484132349491
18,0.002453249180689454
19,-0.03909345716238022
20,0.049397896975278854
21,0.021274704486131668
22,0.054661087691783905
23,0.03078649379312992
24,0.046068768948316574
25,0.033513206988573074
26,-0.0075618731789290905
27,0.014901804737746716
28,-0.06303146481513977
29,0.010145909152925014
30,0.0031151112634688616
31,0.05206119641661644
32,0.0026216870173811913
33,0.012888475321233273
34,-0.0303743164986372
35,0.010605646297335625
36,0.05500985309481621
37,-0.007201217580586672
38,-0.024730654433369637
39,-0.020386936143040657
40,-0.003128982614725828
41,-0.0052195945754647255
42,-0.05443914607167244
43,0.005271117202937603
44,0.018611403182148933
45,0.016756603494286537
46,0.0033271447755396366
47,0.010344071313738823
48,0.0008456576033495367
49,0.03281567618250847
50,-0.00018020383140537888
51,0.04464200139045715
52,0.01082758791744709
53,0.008140507154166698
54,-0.0363033302128315
55,0.028899988159537315
56,0.046037063002586365
57,-0.029280459508299828
58,0.007926492020487785
59,-0.014553038403391838
60,-0.010890999808907509
61,-0.034971680492162704
62,-0.01582127809524536
63,0.009702025912702084
64,0.02623668685555458
65,0.010185541585087776
66,-0.0018478634301573038
67,0.033925384283065796
68,0.015987733379006386
69,0.052853845059871674
70,0.02022840641438961
71,0.0008996567921712995
72,0.02293926663696766
73,0.022210029885172844
74,0.04568829759955406
75,-0.0072646294720470905
76,-0.002338315127417445
77,0.03332297131419182
78,-0.01754925213754177
79,-0.01206412073224783
80,0.000486736127641052
81,-0.021052762866020203
82,-0.026189127936959267
83,0.016487102955579758
84,-0.010455042123794556
85,-0.00852097850292921
86,0.017501693218946457
87,-0.07825032621622086
88,0.006844525691121817
89,0.007664917502552271
90,0.0031091663986444473
91,-0.02141738124191761
92,-0.03169011324644089
93,-0.025951333343982697
94,0.056595150381326675
95,-0.005679331254214048
96,0.02739395573735237
97,0.003626369871199131
98,-0.0094166724011302
99,0.013213461264967918
100,0.01435487624257803
101,0.00734785757958889
102,-0.008568537421524525
103,-0.07526996731758118
104,0.019055286422371864
105,-0.011263544671237469
106,-0.011953149922192097
107,0.0036897819954901934
108,-0.0320705845952034
109,-0.08306962996721268
110,-0.014299390837550163
111,0.0332595594227314
112,-0.007129879202693701
113,0.01116842683404684
114,-0.01264275424182415
115,0.00012806238373741508
116,-0.01576579175889492
117,0.01418842002749443
118,0.013593933545053005
119,0.010058717802166939
120,-0.00965446699410677
121,0.009987379424273968
122,-0.03525703400373459
123,-0.0022788664791733027
124,0.02633180469274521
125,0.0015199048211798072
126,-0.012286062352359295
127,-0.012214723974466324
128,0.03709598258137703
129,-0.00831488985568285
130,-0.009797143749892712
131,-0.022749030962586403
132,-0.023509973660111427
133,0.0322449691593647
134,0.015250570140779018
135,-0.016613926738500595
136,-0.019911346957087517
137,0.024492859840393066
138,0.026315951719880104
139,0.02474650740623474
140,-0.03054869920015335
141,-0.06059010326862335
142,-0.0074429758824408054
143,0.019911346957087517
144,0.016582220792770386
145,-0.008489272557199001
146,0.057704858481884
147,-0.022558795288205147
148,-0.016019439324736595
149,-0.018865050747990608
150,-0.01924552209675312
151,-0.015749938786029816
152,0.018405314534902573
153,-0.013538448140025139
154,0.017485840246081352
155,-0.01713707484304905
156,-0.02474650740623474
157,0.0075143142603337765
158,0.006392715498805046
159,-0.006963422987610102
160,-0.02368435636162758
161,-0.028028074651956558
162,0.0039037971291691065
163,0.026363510638475418
164,-0.01683586835861206
165,0.001824083854444325
166,0.018928462639451027
167,-0.04968325048685074
168,0.028250016272068024
169,0.06677276641130447
170,0.0005355335888452828
171,-0.003146817209199071
172,-0.014037816785275936
173,0.003442079061642289
174,-0.010248953476548195
175,0.006436311174184084
176,0.035478975623846054
177,0.015060334466397762
178,0.01645539700984955
179,0.019530875608325005
180,-0.0072646294720470905
181,0.006464053876698017
182,0.032324232161045074
183,-0.015337761491537094
184,-0.009170951321721077
185,-0.024683095514774323
186,0.029819462448358536
187,-0.018912609666585922
188,0.027600044384598732
189,0.0005920098628848791
190,-0.021734440699219704
191,-0.002407671883702278
192,0.04870036616921425
193,-0.018215076997876167
194,0.016487102955579758
195,-0.03839592635631561
196,-0.029549961909651756
197,0.006717701908200979
198,-0.03245105594396591
199,-0.022241735830903053
200,0.01659807376563549
201,-0.012666533701121807
202,0.004032602533698082
203,-0.013696977868676186
204,-0.01826263777911663
205,0.022590501233935356
206,0.022289294749498367
207,-0.015892615541815758
208,0.015115819871425629
209,-0.0356375053524971
210,0.046449240297079086
211,0.018579697236418724
212,0.012476298026740551
213,0.010946485213935375
214,0.014996922574937344
215,0.006107361987233162
216,-0.049873486161231995
217,0.03633503615856171
218,0.04150310903787613
219,-0.01910284534096718
220,-0.005607992876321077
221,-0.03281567618250847
222,0.012111679650843143
223,-0.0027009521145373583
224,-0.007462792098522186
225,0.015615188516676426
226,0.013379918411374092
227,-0.0019142477540299296
228,-0.0025800729636102915
229,0.011073308996856213
230,0.007811557501554489
231,0.029343871399760246
232,-0.014735348522663116
233,0.042676232755184174
234,-0.059892572462558746
235,0.0031805047765374184
236,-0.003342997981235385
237,-0.005207704845815897
238,-0.0001522134116385132
239,0.012769578024744987
240,-0.02314535528421402
241,0.021132027730345726
242,0.0022412154357880354
243,-0.0023244437761604786
244,0.0012682386441156268
245,-0.011548898182809353
246,-0.03820569068193436
247,0.015591409057378769
248,-0.01466400921344757
249,-0.017501693218946457
250,-0.00911546591669321
251,-0.0008644830086268485
252,0.033037617802619934
253,0.027330543845891953
254,-0.01337199192494154
255,0.01058979332447052
256,0.017739487811923027
257,0.019261375069618225
258,-0.009297775104641914
259,-0.019499169662594795
260,0.010003232397139072
261,0.0366520993411541
262,-0.007082320284098387
263,0.025745244696736336
264,0.04530782625079155
265,0.0013772279489785433
266,-0.027853691950440407
267,0.011445853859186172
268,0.018278490751981735
269,0.003239953424781561
270,0.025031860917806625
271,0.016820015385746956
272,0.04638582840561867
273,0.0017468006117269397
274,0.002203564625233412
275,-0.013792095705866814
276,0.006301560904830694
277,0.01992719992995262
278,0.01805654726922512
279,0.01870652101933956
280,0.014434141106903553
281,-0.003967209253460169
282,0.024381889030337334
283,-0.001802286016754806
284,0.006246075499802828
285,-0.0185004323720932
286,-0.002564219990745187
287,-0.012658607214689255
288,-0.0013792095705866814
289,0.008251477964222431
290,-0.04812965914607048
291,0.013514668680727482
292,0.0032577880192548037
293,0.015623115003108978
294,0.0176443699747324
295,0.0055406177416443825
296,0.018928462639451027
297,-0.01586090959608555
298,0.008338669314980507
299,0.018674815073609352
300,0.0003626369871199131
301,3.919897790183313e-05
302,-0.0011364606907591224
303,-0.07571385055780411
304,-0.014790833927690983
305,-0.02775857411324978
306,0.031166965141892433
307,0.012729945592582226
308,-0.03960075229406357
309,0.0005543589941225946
310,0.027489073574543
311,0.014711568132042885
312,-0.029993845149874687
313,-0.036778923124074936
314,-0.023969711735844612
315,-0.02993043325841427
316,0.012793357484042645
317,0.020482053980231285
318,0.0018964131595566869
319,-0.04131287336349487
320,-0.012951887212693691
321,-0.004371460061520338
322,-0.03268885239958763
323,-0.017295604571700096
324,0.023541679605841637
325,0.031008435413241386
326,-0.022796589881181717
327,-0.010573940351605415
328,0.010787955485284328
329,0.04464200139045715
330,-0.03820569068193436
331,-0.03281567618250847
332,0.01972111128270626
333,-0.004022694658488035
334,0.028804870322346687
335,-0.03966416418552399
336,-0.010708690620958805
337,0.0034480239264667034
338,0.011287324130535126
339,0.0031864496413618326
340,-0.007549983449280262
341,-0.02511112578213215
342,0.007066467311233282
343,0.019625993445515633
344,-0.03262544050812721
345,0.0021698770578950644
346,0.007660954259335995
347,-0.006670142989605665
348,0.007415233179926872
349,-0.037286218255758286
350,0.00011728730896720663
351,-0.022447824478149414
352,0.0038284955080598593
353,-0.014442067593336105
354,0.05237825587391853
355,-0.0002697484160307795
356,-0.018246784806251526
